,2035,2040,2050
22JAN04:00,90,87,72
22JAN05:00,90,89,70
22JAN06:00,93,89,72
22JAN07:00,93,89,72
22JAN08:00,90,81,56
22JAN09:00,67,61,53
22JAN10:00,63,60,52
22JAN11:00,62,60,52
22JAN12:00,62,60,52
22JAN13:00,62,60,52
22JAN14:00,62,60,52
22JAN15:00,62,60,52
22JAN16:00,64,61,54
22JAN17:00,63,61,53
22JAN18:00,63,60,52
22JAN19:00,62,60,52
22JAN20:00,62,60,52
22JAN21:00,62,60,52
22JAN22:00,62,60,52
22JAN23:00,62,60,52
23JAN00:00,62,60,52
23JAN01:00,62,60,52
23JAN02:00,63,60,53
23JAN03:00,65,61,54
23JAN04:00,64,61,53
23JAN05:00,62,60,52
23JAN06:00,62,60,52
23JAN07:00,62,60,52
23JAN08:00,62,60,52
23JAN09:00,62,60,52
23JAN10:00,62,60,52
23JAN11:00,62,60,52
23JAN12:00,62,60,52
23JAN13:00,62,60,52
23JAN14:00,62,60,52
23JAN15:00,62,60,52
23JAN16:00,63,60,52
23JAN17:00,64,61,53
23JAN18:00,64,61,53
23JAN19:00,64,61,53
23JAN20:00,63,61,52
23JAN21:00,63,60,52
23JAN22:00,63,60,52
23JAN23:00,63,60,52
24JAN00:00,63,60,52
24JAN01:00,63,60,52
24JAN02:00,63,60,52
24JAN03:00,65,61,53
24JAN04:00,67,62,54
24JAN05:00,69,63,54
24JAN06:00,81,64,55
24JAN07:00,85,66,56
24JAN08:00,86,66,55
24JAN09:00,81,63,54
24JAN10:00,72,63,53
24JAN11:00,70,62,52
24JAN12:00,69,62,52
24JAN13:00,72,62,52
24JAN14:00,89,64,55
24JAN15:00,120,109,113
24JAN16:00,120,109,113
24JAN17:00,120,109,113
24JAN18:00,120,109,113
24JAN19:00,120,109,113
24JAN20:00,120,109,113
24JAN21:00,119,109,113
24JAN22:00,112,109,113
24JAN23:00,112,109,113
25JAN00:00,105,109,113
25JAN01:00,105,109,113
25JAN02:00,106,109,113
25JAN03:00,107,109,113
25JAN04:00,111,109,113
25JAN05:00,111,109,113
25JAN06:00,111,109,113
25JAN07:00,111,109,113
25JAN08:00,111,109,113
25JAN09:00,90,88,91
25JAN10:00,90,87,91
25JAN11:00,90,87,91
25JAN12:00,90,87,91
25JAN13:00,90,87,91
25JAN14:00,90,88,91
25JAN15:00,112,109,113
25JAN16:00,112,109,113
25JAN17:00,112,109,113
25JAN18:00,112,109,113
25JAN19:00,106,109,113
25JAN20:00,99,105,112
25JAN21:00,99,102,106
25JAN22:00,92,102,106
25JAN23:00,91,101,106
26JAN00:00,99,102,111
26JAN01:00,99,102,112
26JAN02:00,105,102,113
26JAN03:00,105,108,113
26JAN04:00,108,108,113
26JAN05:00,108,108,113
26JAN06:00,112,108,113
26JAN07:00,112,108,113
26JAN08:00,108,108,112
26JAN09:00,95,88,91
26JAN10:00,90,87,91
26JAN11:00,90,87,91
26JAN12:00,90,87,91
26JAN13:00,90,87,91
26JAN14:00,107,104,109
26JAN15:00,189,167,178
26JAN16:00,190,167,178
26JAN17:00,190,167,178
26JAN18:00,190,167,178
26JAN19:00,190,167,178
26JAN20:00,190,167,178
26JAN21:00,190,167,178
26JAN22:00,190,167,178
26JAN23:00,190,167,178
27JAN00:00,189,167,178
27JAN01:00,189,167,178
27JAN02:00,189,167,178
27JAN03:00,190,167,178
27JAN04:00,190,167,178
27JAN05:00,190,167,178
27JAN06:00,190,167,178
27JAN07:00,190,167,178
27JAN08:00,190,167,178
27JAN09:00,188,153,157
27JAN10:00,139,143,156
27JAN11:00,139,143,156
27JAN12:00,139,143,156
27JAN13:00,139,143,156
27JAN14:00,141,151,156
27JAN15:00,164,153,166
27JAN16:00,164,153,166
27JAN17:00,164,153,166
27JAN18:00,164,153,166
27JAN19:00,164,153,166
27JAN20:00,155,152,162
27JAN21:00,143,151,156
27JAN22:00,136,143,156
27JAN23:00,106,107,155
28JAN00:00,102,107,154
28JAN01:00,102,107,120
28JAN02:00,102,107,121
28JAN03:00,102,107,117
28JAN04:00,96,100,116
28JAN05:00,96,100,114
28JAN06:00,100,105,117
28JAN07:00,102,106,117
28JAN08:00,100,101,112
28JAN09:00,90,91,97
28JAN10:00,90,91,97
